x	y	z
0.107806	0.008868	0.021995
0.107875	0.008432	0.021850
0.107942	0.008004	0.021703
0.108008	0.007583	0.021555
0.108071	0.007170	0.021405
0.108133	0.006765	0.021254
0.108192	0.006368	0.021102
0.108251	0.005978	0.020948
0.108308	0.005596	0.020793
0.108363	0.005222	0.020636
0.108417	0.004856	0.020478
0.108470	0.004498	0.020319
0.108522	0.004147	0.020159
0.108573	0.003804	0.019997
0.108622	0.003469	0.019833
0.108671	0.003142	0.019668
0.108719	0.002823	0.019502
0.108766	0.002511	0.019335
0.108812	0.002208	0.019166
0.108857	0.001912	0.018995
0.108902	0.001624	0.018824
0.108936	0.001413	0.018692
0.108970	0.001211	0.018559
0.109004	0.001017	0.018424
0.109037	0.000833	0.018288
0.109070	0.000657	0.018151
0.109104	0.000490	0.018012
0.109138	0.000333	0.017871
0.109171	0.000184	0.017729
0.109205	0.000044	0.017586
0.109239	-0.000087	0.017441
0.109273	-0.000209	0.017295
0.109307	-0.000322	0.017148
0.109342	-0.000427	0.016999
0.109377	-0.000522	0.016848
0.109412	-0.000609	0.016696
0.109448	-0.000686	0.016543
0.109484	-0.000755	0.016388
0.109520	-0.000814	0.016232
0.109557	-0.000865	0.016074
0.109594	-0.000907	0.015915
0.109631	-0.000940	0.015754
0.109667	-0.000964	0.015601
0.109702	-0.000982	0.015451
0.109736	-0.000994	0.015304
0.109770	-0.001000	0.015160
0.109803	-0.001000	0.015019
0.109836	-0.000994	0.014880
0.109868	-0.000981	0.014745
0.109899	-0.000963	0.014612
0.109930	-0.000939	0.014482
0.109960	-0.000908	0.014355
0.109989	-0.000872	0.014231
0.110018	-0.000829	0.014110
0.110046	-0.000781	0.013991
0.110074	-0.000726	0.013876
0.110100	-0.000665	0.013763
0.110127	-0.000598	0.013653
0.110152	-0.000525	0.013546
0.110177	-0.000446	0.013442
0.110201	-0.000361	0.013341
0.110224	-0.000270	0.013243
0.110224	-0.000270	0.013243
0.110240	-0.000203	0.013176
0.110255	-0.000138	0.013114
0.110268	-0.000074	0.013058
0.110280	-0.000012	0.013007
0.110291	0.000049	0.012961
0.110300	0.000108	0.012920
0.110308	0.000166	0.012885
0.110315	0.000222	0.012856
0.110321	0.000276	0.012831
0.110325	0.000329	0.012812
0.110328	0.000381	0.012798
0.110330	0.000431	0.012789
0.110331	0.000479	0.012786
0.110330	0.000526	0.012788
0.110328	0.000571	0.012796
0.110325	0.000615	0.012808
0.110320	0.000657	0.012826
0.110315	0.000698	0.012850
0.110308	0.000737	0.012878
0.110299	0.000775	0.012912
0.110290	0.000811	0.012951
0.110279	0.000845	0.012996
0.110267	0.000878	0.013046
0.110254	0.000910	0.013101
0.110240	0.000940	0.013162
0.110224	0.000968	0.013227
0.110207	0.000995	0.013298
0.110189	0.001020	0.013375
0.110169	0.001044	0.013457
0.110149	0.001066	0.013544
0.110127	0.001087	0.013636
0.110077	0.001134	0.013846
0.110027	0.001188	0.014055
0.109978	0.001248	0.014265
0.109928	0.001315	0.014475
0.109877	0.001390	0.014684
0.109827	0.001471	0.014894
0.109777	0.001559	0.015103
0.109726	0.001655	0.015313
0.109675	0.001759	0.015523
0.109624	0.001869	0.015732
0.109573	0.001988	0.015942
0.109521	0.002115	0.016152
0.109469	0.002249	0.016361
0.109417	0.002391	0.016571
0.109365	0.002542	0.016781
0.109311	0.002701	0.016990
0.109258	0.002869	0.017200
0.109204	0.003045	0.017409
0.109149	0.003230	0.017619
0.109094	0.003423	0.017829
0.109039	0.003626	0.018038
0.108982	0.003838	0.018248
0.108925	0.004059	0.018458
0.108867	0.004289	0.018667
0.108808	0.004529	0.018877
0.108748	0.004778	0.019087
0.108687	0.005037	0.019296
0.108625	0.005306	0.019506
0.108562	0.005585	0.019715
0.108497	0.005874	0.019925
0.108431	0.006173	0.020135
0.108364	0.006482	0.020344
0.108295	0.006802	0.020554
0.108224	0.007132	0.020764
