x	y	z
0.000000	0.124556	0.010400
0.000000	0.124556	0.010862
0.000000	0.124556	0.011323
0.000000	0.124556	0.011785
0.000000	0.124556	0.012247
0.000000	0.124556	0.012708
0.000000	0.124556	0.013170
0.000000	0.124556	0.013632
0.000000	0.124556	0.014093
0.000000	0.124556	0.014555
0.000000	0.124556	0.015017
0.000000	0.124556	0.015478
0.000000	0.124556	0.015940
0.000000	0.124556	0.016402
0.000000	0.124556	0.016863
0.000000	0.124556	0.017325
0.000000	0.124556	0.017787
0.000000	0.124556	0.018248
0.000000	0.124556	0.018710
0.000000	0.124556	0.019172
0.000000	0.124556	0.019633
0.000000	0.124556	0.020095
0.000000	0.124556	0.020557
0.000000	0.124556	0.021018
0.000000	0.124556	0.021480
0.000000	0.124556	0.021942
0.000000	0.124556	0.022403
0.000000	0.124556	0.022865
0.000000	0.124556	0.023327
0.000000	0.124556	0.023788
0.000000	0.124556	0.024250
0.000000	0.110608	0.010400
0.000000	0.110568	0.010862
0.000000	0.110526	0.011323
0.000000	0.110479	0.011785
0.000000	0.110427	0.012247
0.000000	0.110370	0.012708
0.000000	0.110308	0.013170
0.000000	0.110242	0.013632
0.000000	0.110170	0.014093
0.000000	0.110093	0.014555
0.000000	0.110011	0.015017
0.000000	0.109925	0.015478
0.000000	0.109833	0.015940
0.000000	0.109737	0.016402
0.000000	0.109635	0.016863
0.000000	0.109528	0.017325
0.000000	0.109417	0.017787
0.000000	0.109300	0.018248
0.000000	0.109179	0.018710
0.000000	0.109052	0.019172
0.000000	0.108921	0.019633
0.000000	0.108784	0.020095
0.000000	0.108643	0.020557
0.000000	0.108497	0.021018
0.000000	0.108345	0.021480
0.000000	0.108189	0.021942
0.000000	0.108028	0.022403
0.000000	0.107861	0.022865
0.000000	0.107690	0.023327
0.000000	0.107514	0.023788
0.000000	0.107333	0.024250
